,Name,Accepts Cryptocurrency,All Day Breakfast,Available for Functions,BYO,BYO Cake,BYO Food,Beer,Beer Tasting,Breakfast,Brunch,Buffet,Category 1,Category 2,Catering Available,Corkage Fee Charged,Cost,Craft Beer,Cuisine 1,Cuisine 2,Cuisine 3,Cuisine 4,Cuisine 5,Dairy Free,Degustation,Delivery Only,Desserts and Bakes,Drive Thru,Entry Fee,FODMAP Friendly,Farm-to-Table,Feed Me Menu,Free Parking,Full Bar Available,Garden,Gastro Pub,Gin Tasting,Gluten Free Options,Group Bookings Available,Group Meal,High Tea,Home Delivery,Indoor Seating,Izakaya,Kaiseki,Kid Friendly,Known For,Kosher,Live Entertainment,Live Music,Live Sports Screening,Location 1,Location 2,Location 3,Location 4,Location 5,Lunch Menu,Luxury Dining,Natural Wine,Nightlife,No Alcohol Available,Number of Blogs,Number of Photos,Number of Reviews,Omakase Available,Open 24/7,Outdoor Seating,Payments,Pet Friendly,Pram Friendly,Pre-Theatre Menu,Rating,Restricted Entry,Rooftop,Sake,Seating Not Available,Serves Alcohol,Serves Cocktails,Serves Halal,Set Menu,Shared Plates,Shisha,Smoking Area,Soju,Split Bills,Sports Bar,Sushi Train,Table Reservation Not Required,Table booking for Groups,Table booking not available,Table booking recommended,Table reservation required,Takeaway Available,Takeaway Only,Total Opening Hours (Weekly),Vegan Options,Vegetarian Friendly,Waterfront,Wheelchair Accessible,Whisky Tasting,Wifi,Wine,Wine Cellar,Wine Tasting,Wine and Beer,VADER Score (Compound),TextBlob Score,TextBlob Score (Categorical)
10,Higher Ground,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,True,Not specified,Café,Not specified,Not specified,Not specified,60.0,Not specified,Cafe Food,Coffee and Tea,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,True,True,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,A spacious cafe in the heart of CBD by the crew behind Kettle Black & Top Paddock,Not specified,Not specified,Not specified,Not specified,Australia,Melbourne,CBD,Little Bourke Street,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,36.0,1976.0,1522.0,Not specified,Not specified,Not specified,Cash and Cards accepted,Not specified,Not specified,Not specified,4.4,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,82.0,True,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,0.731392647058823,0.26485438732280875,Positive
11,Tipo 00,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Casual Dining,Not specified,Not specified,Not specified,120.0,True,Italian,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Authentic Italian restaurant with fresh housemade pasta,Not specified,Not specified,Not specified,Not specified,Australia,Melbourne,CBD,Little Bourke Street,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,51.0,1986.0,1629.0,Not specified,Not specified,Not specified,"Cash,Cards and EFTPOS accepted",Not specified,Not specified,Not specified,4.8,Not specified,Not specified,Not specified,True,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,True,Not specified,Not specified,Not specified,63.0,True,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,0.7723827586206895,0.2710437473469325,Positive
12,Kisumé,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Casual Dining,Not specified,Not specified,Not specified,150.0,Not specified,Japanese,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,True,Not specified,"Lucas Group's latest project, serving contemporary Japanese food infused with Australian sensibility",Not specified,Not specified,Not specified,Not specified,Australia,Melbourne,CBD,Flinders Lane,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,17.0,1891.0,979.0,Not specified,Not specified,Not specified,Cash and Cards accepted,Not specified,Not specified,Not specified,4.6,Not specified,Not specified,True,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,77.0,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,0.8851666666666668,0.30820215265701373,Positive
13,Don Don,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Casual Dining,Not specified,Not specified,Not specified,25.0,Not specified,Japanese,Asian,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Great value and lightning fast donburi (rice bowls),Not specified,Not specified,Not specified,Not specified,Australia,Melbourne,CBD,Little Lonsdale Street,Not specified,Not specified,Not specified,Not specified,Not specified,True,48.0,393.0,3046.0,Not specified,Not specified,Not specified,Cash only,Not specified,Not specified,Not specified,4.5,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,True,Not specified,70.0,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,0.6897789473684213,0.19212708222576644,Positive
14,Lanzhou Beef Noodle Bar,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Casual Dining,Not specified,Not specified,Not specified,35.0,Not specified,Chinese,Fast Food,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,"Handmade, hand rolled noodle dough in traditional Lanzhou beef soup",Not specified,Not specified,Not specified,Not specified,Australia,Melbourne,CBD,Elizabeth Street,Not specified,Not specified,Not specified,Not specified,Not specified,True,2.0,163.0,333.0,Not specified,Not specified,Not specified,"Cash,Cards and EFTPOS accepted",Not specified,Not specified,Not specified,4.3,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,40.5,Not specified,True,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,0.7395773006134967,0.31309669011431657,Positive
15,Legacy,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,True,Not specified,Café,Not specified,Not specified,Not specified,45.0,Not specified,Coffee and Tea,Cafe Food,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,True,"Raw superfood smoothies and a healthy menu in a bright, modern fit-out",Not specified,Not specified,Not specified,Not specified,Australia,Melbourne,Eastern Suburb,Camberwell,Not specified,Not specified,Not specified,Not specified,Not specified,True,27.0,805.0,693.0,Not specified,Not specified,True,Cash and Cards accepted,True,Not specified,Not specified,4.4,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,True,Not specified,61.0,True,True,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,0.689552320675106,0.2668121332256465,Positive
16,MoVida Bar De Tapas,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Casual Dining,Bar,Not specified,Not specified,120.0,Not specified,Spanish,Tapas,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Pioneering the Spanish tapas scene in a vibrant atmosphere with unique and fresh ingredients,Not specified,Not specified,Not specified,Not specified,Australia,Melbourne,CBD,Hosier Lane,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,126.0,1083.0,4319.0,Not specified,Not specified,Not specified,Cash and Cards accepted,Not specified,Not specified,Not specified,4.8,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,70.0,True,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,0.6856166666666668,0.2693202861952862,Positive
17,Wagaya,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Casual Dining,Not specified,Not specified,Not specified,55.0,Not specified,Japanese,Sushi,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Australia,Melbourne,CBD,Bourke Street,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,19.0,735.0,605.0,Not specified,Not specified,Not specified,Cash and Cards accepted,Not specified,Not specified,Not specified,4.1,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,36.0,True,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,0.6928965648854966,0.21117584828875666,Positive
18,Oriental Spoon,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Casual Dining,Not specified,Not specified,Not specified,130.0,Not specified,Korean,Korean BBQ,Hot Pot,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Traditional Korean cuisine in a minimalist decor,Not specified,Not specified,Not specified,Not specified,Australia,Melbourne,CBD,La Trobe Street,Not specified,True,Not specified,Not specified,Not specified,Not specified,44.0,723.0,1936.0,Not specified,Not specified,Not specified,Cash and Cards accepted,Not specified,Not specified,Not specified,4.2,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,True,Not specified,27.0,Not specified,True,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,True,0.7817,0.27699997244268076,Positive
19,Samurai,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Casual Dining,Not specified,Not specified,Not specified,35.0,Not specified,Japanese,Sushi,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Homely Japanese restaurant for a pocket friendly and healthy meal,Not specified,Not specified,Not specified,Not specified,Australia,Melbourne,Eastern Suburb,Hawthorn,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,24.0,367.0,1250.0,Not specified,Not specified,True,Cash and Cards accepted,Not specified,Not specified,Not specified,4.3,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,True,Not specified,24.0,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,0.6734389140271488,0.2306910532856121,Positive
20,Yu Kitchen,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Casual Dining,Not specified,Not specified,Not specified,60.0,Not specified,Chinese,Yum Cha,Asian,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,"With a menu created by Michelin starred chef and son of Iron Chef, Chen Kentaro, Yu Kitchen is a showcasing of traditional Asian cuisine with a touch of modernity",Not specified,Not specified,Not specified,Not specified,Australia,Melbourne,Southern Suburb,Chadstone,"Chadstone Shopping Centre, Chadstone",Not specified,Not specified,Not specified,Not specified,Not specified,1.0,199.0,110.0,Not specified,Not specified,True,Cash and Cards accepted,Not specified,Not specified,Not specified,4.1,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,True,Not specified,25.5,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,0.8149000000000001,0.30184955233200844,Positive
21,The Crux & Co,Not specified,True,True,Not specified,Not specified,Not specified,Not specified,Not specified,True,True,Not specified,Café,Not specified,Not specified,Not specified,60.0,Not specified,Coffee and Tea,Cafe Food,Not specified,Not specified,Not specified,True,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,Not specified,Not specified,True,Not specified,Not specified,True,Fresh and bright space with innovative brunch fare and speciality coffee,Not specified,Not specified,Not specified,Not specified,Australia,Melbourne,Inner South,South Melbourne,Not specified,Not specified,Not specified,Not specified,Not specified,True,16.0,1594.0,770.0,Not specified,Not specified,True,Cash and Cards accepted,Not specified,Not specified,Not specified,4.4,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,True,Not specified,True,Not specified,58.5,True,True,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,0.768121867321867,0.3042931600579565,Positive
